,House Number,Rawalpindi Houses,Name,Price,Type,Main Features,Rooms,Details
28,House 52094689,Rawalpindi Houses,In Bahria Town Phase 8 - Block A House Sized 1 Kanal For Sale,"Bahria Town Phase 8 - Block A, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","Newly Constructed HouseOur Brand New 1.4 Kanal House For SaleHouse# 51- Street # 2 - Sector A - Phase-8 - Bahria Town - IslamabadPrime Location2 Mins Walking Distance From Mosque5 Mins Walking Distance From Sector CommercialsSolid Land. Double Unit With 5 Bedroom, 6 Washrooms And 1 Recreational Room. 3 Kitchens With PantrySolar System InstalledSecurity Cameras + Security Alarm System InstalledSpacious Car Parking Space With Back Lawn And Gazeebo",Built in year: 2024 | Parking Spaces | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 1 | Other Main Features | Furnished,,"Type: House, Price: PKR8.5 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 20 hours ago"
29,House 51881632,Rawalpindi Houses,Luxury House With Spacious Lawn At Reasonable Price,"Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","It's an End Corner House With Beautiful View of Lawn At its adjacent sideBuilt up is approximately around 11 marla and rest of the area is developed into a lawnNewly constructed at a very peaceful locationSolid construction and Beautiful FinishingExcellent Woodwork, Quality Fittings And Stylish kitchensThis house features 5 Bedrooms6 Bathrooms1 Drawing room2 Kitchens2 Living rooms1 Store room1 Servant room with attached bathParking space for 3 cars. For more options and visit please contact us. Bahria Town your lifestyle destinationONYX HOMES REALTORS & BUILDERSALSO PROVIDING CONSTRUCTION & INTERIOR SERVICES",Built in year: 2024 | Parking Spaces | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room, Store Rooms: 1, Lounge or Sitting Room, Laundry Room","Type: House, Price: PKR4.3 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 6, Area: 18 Marla, Purpose: For Sale, Bedroom(s): 5, Added: 1 day ago"
30,House 52094125,Rawalpindi Houses,Your Dream Brand New 5 Marla House Is Available In Snober City,"Snober City, Adiala Road, Rawalpindi, Punjab",5 Marla Brand New Single Storey House for sale Snober City On main Adiala Road Rawalpindi Drawing dining Tv Lounge Kitchen 2 Bedroom 3 washroom Mumty All facilities are availableAt prime locationNear commercialNear MasjidNear schoolNear HospitalFeel free to contact us at Apna Ghar Pk Real Estate And Builders,Built in year: 2025 | Parking Spaces: 1,"Bedrooms: 2, Bathrooms: 3, Drawing Room, Dining Room, Kitchens: 1, Lounge or Sitting Room","Type: House, Price: PKR1.03 Crore, Location: Adiala Road, Rawalpindi, Punjab, Bath(s): 3, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 2, Added: 12 hours ago"
31,Flat 45256816,,"Flat For Sale In Rs. 31,500,000","Askari 14, Rawalpindi, Punjab",3 bed SOUTH FACING FLAT FOR SALE Askari 14 SECTOR C DHA 4 10 MARLA 3 BED 6TH FLOOR SOUTH FACING FLAT IN EXELENT CONDITION IS AVAILABLE FOR SALE IN ASKARI 14 SECTOR C WHICH HAS RECENTLY BECOME A PART OF DHA 4 ISLAMABAD THROUGH PERVAIZ MUSHRAF ROADGAS ELECTRICITY LIFT WATER AND OTHER FACILITIES ARE AVAILABLEVISIT ANY TIME ON ONE HOURS NOTICERENTAL VALUE OF FLAT 75 THOUSANDWITH DD TV LOUNGE STORE ROOMKITCHENCAR PARKINGSERVANT ROOMETC,Built in year: 2021 | Parking Spaces: 1 | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floor: 5 | Floors in Building: 6 | Elevators: 2 | Service Elevators in Building | Furnished,"Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Laundry Room","Type: Flat, Price: PKR3.15 Crore, Location: Askari 14, Rawalpindi, Punjab, Bath(s): 3, Area: 10 Marla, Purpose: For Sale, Bedroom(s): 3, Added: 14 hours ago"
32,House 52021422,Rawalpindi Houses,Double Highted Outstanding Luxurious Designer House For Sale Bahria Town Phase 8 Rawalpindi Islamabad,"Bahria Town Phase 8 - Block C, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","Double Highted Luxurious Ultra Designer House For Sale Bahria Town Phase 8 Rawalpindi Islamabad Double Storay Double Unit Double Highted Accommodations 5 Master Bedrooomds With Attached Washrooms 1 Luxurious Drawing Room 2 Stylish Open Kitchens 2 Outstanding TV Lunch Max Nine Floor Rofe Toop Sarven Quarter With Attached Washroom 2 Big Size Watter Tanks 3 Care Parking Geyser Installed Electric Metter Installed Near By Masjid, Mine Commercial, Faimly Prak, Filter Plant, Future World College, Business District North Commercial,Bahria Head Office And Bahria International Hospital. Bakhtiyar Ullah Contact Us Fore More Details ]",Built in year: 2024 | Parking Spaces: 3 | Double Glazed Windows | Central Air Conditioning | Flooring | Floors: 2 | Other Main Features,"Bedrooms: 5, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Store Rooms: 1, Laundry Room, Other Rooms","Type: House, Price: PKR4.25 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 6, Area: 10 Marla, Purpose: For Sale, Bedroom(s): 6, Added: 14 hours ago"
33,House 51428102,Rawalpindi Houses,Beautiful House In Samarzar Housing Society,"Samarzar Housing Society, Rawalpindi, Punjab",Corner Home With Front Street Of 40 Feet And Side Street Of 20 Feet. Beautiful View And Is Airy And Sunny. Reasonable Price Best Opportunity To Get A Better Idea Of What You Want To Do With Your Business. Genuine Customers Interested In Checking This Property Out Should Get In Touch Immediately So As Not To Miss This Opportunity. our Demand Is Reasonable And According To The Market Rate. we Want Only Serious Buyers To Contact Us. Do Not Forget To Mention Zameen. com While Calling.,Built in year: 2024 | Parking Spaces | Double Glazed Windows | Flooring | Waste Disposal | Floors: 1 | Other Main Features,,"Type: House, Price: PKR60 Lakh, Location: Samarzar Housing Society, Rawalpindi, Punjab, Bath(s): 3, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 3, Added: 15 hours ago"
34,House 50284140,Rawalpindi Houses,Bahria Town 5 Marla Double Storey House 4 Beds With Attached Baths Outstanding Location Perfectly Constructed,"Bahria Town Phase 8 - Ali Block, Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","Main Boulevard House For Sale In Bahria Town phase 8 safari valley Ali Block , 5 Marla Double Story House 4 Beds With Attached Baths Outstanding Location Perfectly ConstructedTv loungedrawing roomkitchenpowder room4 bedrooms attached bathroomsservant quarter",Built in year: 2020 | Parking Spaces: 2 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 2, Bathrooms: 2, Servant Quarters, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR2.25 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 4, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 4, Added: 16 hours ago"
35,House 51279544,Rawalpindi Houses,10 Marla Double Story Double Unit Brand New House Available For Sale.,"Gulshan Abad, Rawalpindi, Punjab",10 Marla Double Story Double Unit Brand New House Available For Sale In Gulsah Abad Sector 3 . All Basic Facilities Are Available. Near To Commercial.,Built in year: 2024 | Flooring,"Bedrooms: 6, Bathrooms: 6, Drawing Room, Dining Room, Kitchens: 2","Type: House, Price: PKR3.25 Crore, Location: Gulshan Abad, Rawalpindi, Punjab, Bath(s): 6, Area: 10 Marla, Purpose: For Sale, Bedroom(s): 6, Added: 10 hours ago"
36,House 49318909,Rawalpindi Houses,1 Kanal Double Storey Double Unit House Available For Sale In Gulshan Abad,"Gulshan Abad, Rawalpindi, Punjab",1 Kanal Double Story Double Unit House Available For Sale In Gulshan Abad. All Basic Facilities Are Available. 2 Gas Meter. 2 Bejli Meter2 Servent Quater. Near To Sector 2 Main Commerical,Built in year: 2 | Parking Spaces | Flooring | Electricity Backup,"Bedrooms: 8, Bathrooms: 10, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR5.25 Crore, Location: Gulshan Abad, Rawalpindi, Punjab, Bath(s): -, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 8, Added: 10 hours ago"
37,House 49887112,Rawalpindi Houses,Beautifully Designed 8 Marla Double Storey House ARCHITECT DESIGNED HOUSE FOR SALE In Airport Housing Society,"Airport Housing Society, Rawalpindi, Punjab","Beautifully designed 8 Marla Double House for sale in Airport Housing Society Rawalpindi * Double Story**GROUND FLOOR *3 Bedrooms3 baths Drawing Room, wide TV Lounge and Kitchen Big Car Porch for 3 cars*FIRST FLOOR*3 Room ,3 bathsDrawing and kitchenTV lounge All documents Ready ELectricity meter installed Water Supply Water Boor Gas Available Demand 2_Caror_50 lacFor More details contact us",Built in year: 2022 | Parking Spaces: 4 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 7, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR2.5 Crore, Location: Airport Housing Society, Rawalpindi, Punjab, Bath(s): 6, Area: 8 Marla, Purpose: For Sale, Bedroom(s): 6, Added: 4 hours ago"
38,House 50209078,Rawalpindi Houses,Beautifully Designed 6 Marla Double Storey House Available For Sale In Airport Housing Society,"Airport Housing Society, Rawalpindi, Punjab","Beautifully designed 5 Marla Double Story House for sale in Airport Housing Society Sector 4 Rawalpindi *Walking distance from mosqueNear to Market  Double Story**GROUND FLOOR *2 Bedrooms2 bathsDrawing Room, wide TV Lounge and Kitchen Big Car Porch*FIRST FLOOR*2 Room ,2 bathsDrawing Room Wide TV Lounge 1 Kitchen All documents Ready Electricity meter installed Water Supply Demand 2 Crore 10_lacFor More details contact us",Built in year: 2024 | Parking Spaces: 1 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors | Other Main Features,"Bedrooms: 4, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR2.1 Crore, Location: Airport Housing Society, Rawalpindi, Punjab, Bath(s): 4, Area: 6 Marla, Purpose: For Sale, Bedroom(s): 4, Added: 4 hours ago"
39,House 51302721,Rawalpindi Houses,Beautifully Designed 8 Marla Double Storey House Available For Sale In Airport Housing Society Rawalpindi,"Airport Housing Society, Rawalpindi, Punjab","Beautifully designed 8 Marla Double House for sale in Airport Housing Society Rawalpindi * Double Story**GROUND FLOOR *2 Bedrooms3 baths Drawing Room, wide TV Lounge and Kitchen Big Car Porch for 3 cars*FIRST FLOOR*3 Room ,3 bathsDrawing and kitchenTV lounge All documents Ready ELectricity meter installed Water Supply Water Boor Gas Available Demand 2_Caror_50 lacFor More details contact us",Built in year: 2024 | Parking Spaces: 3 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 1 | Other Main Features,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR2.5 Crore, Location: Airport Housing Society, Rawalpindi, Punjab, Bath(s): 6, Area: 8 Marla, Purpose: For Sale, Bedroom(s): 5, Added: 4 hours ago"
40,House 51301674,Rawalpindi Houses,Beautifully Designed 5 Marla Double Story House Available For Sale In Airport Housing Society Rawalpindi,"Airport Housing Society, Rawalpindi, Punjab","Beautifully designed 5 Marla Double House for sale in Airport Housing Society Sector 4 Rawalpindi Walking distance from mosque Near to Market *Size 25x50 Double Story**GROUND FLOOR *2 Bedrooms3 bathsDrawing Room, wide TV Lounge and Kitchen Big Car Porch *FIRST FLOOR*2 Room ,3 bathsDrawing and kitchenTV lounge All documents Ready ELectricity meter installed Water Boor available Demand 1_Caror_70 lac",Built in year: 2023 | Parking Spaces: 1 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors | Other Main Features,"Bedrooms: 4, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR1.7 Crore, Location: Airport Housing Society, Rawalpindi, Punjab, Bath(s): 6, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 4, Added: 4 hours ago"
41,House 51302811,Rawalpindi Houses,Beautifully Designed 8 Marla Double Story House Available For Sale In Airport Housing Society Sector 2 Rawalpindi,"Airport Housing Society, Rawalpindi, Punjab","Beautifully Designed 8 Marla ARCHITECT DESIGNED Double Story Available House For Sale In Airport Housing Society Sector 4 Rawalpindi *Double Story**GROUND FLOOR *3 Bedrooms3 BathsDrawing Room,Wide TV Lounge And KitchenBig Car Porch*FIRST FLOOR*3 Room ,3 BathsDrawing And KitchenTV LoungeAll Documents ReadyELectricity Meter InstalledWater SupplyGas AvailableDemand 3_Caror_85 Lac",Built in year: 2024 | Parking Spaces: 2 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 1 | Other Main Features,"Bedrooms: 6, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR3.85 Crore, Location: Airport Housing Society, Rawalpindi, Punjab, Bath(s): 6, Area: 8 Marla, Purpose: For Sale, Bedroom(s): 6, Added: 4 hours ago"
42,House 51508937,Rawalpindi Houses,Triple Storey 1 Kanal House In Bahria Town,"Bahria Town Phase 2, Bahria Town Rawalpindi, Rawalpindi, Punjab",Kanal house for sale in bahria townGround floor:Designer kitchenDirty kitchenLounge3 bed3 bathDiningDrawingStore1st floor:Designer kitchen2 bed2 bathDrawing roomLoungeBasement:3 bed3 bathLoungeStoreDesigner kitchen,Built in year | Parking Spaces: 3 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 3 | Other Main Features | Furnished,"Bedrooms: 8, Bathrooms: 8, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR9 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): -, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): -, Added: 26 minutes ago"
43,House 43845099,Rawalpindi Houses,1 Kanal Beautiful Luxury House In Bahria Town,"Bahria Town Phase 4, Bahria Town Rawalpindi, Rawalpindi, Punjab","1 Kanal beautiful House For Sale In Bahria Town Having Excellent Interior And Exterior. 5 Beds With Attach Baths Tiled Flooring. Double Glazed Glass Windows. Lawn. Car Porch For 3 Cars. Imported Fittings And Fixtures. Ash Wood. Balconies And Terraces. Beautiful House And Beautiful Location. It Is The Only Housing Scheme, In Which You Can Enjoy Luxuries Of Life Very Economically. Shopping, Zoo, Parks, Hospital, Mosque, School, College s, Cinemas, Restaurants And Tennis Club Etc. Contact Us For More Detail",Parking Spaces: 3 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room","Type: House, Price: PKR12 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 27 minutes ago"
44,Flat 52110160,,Buy A Prime Location Flat Of 726 Square Feet In Bahria Paradise,"Bahria Paradise, Bahria Town Rawalpindi, Rawalpindi, Punjab",Studio Apartments Is Available For Sale In Bahria Paradise Bahria Town Main GT Road Rawalpindi Kapra Center  Mezzanine Floor Studio Apartments Office Size 726Per Square Feet 22000Down Payment 2904000Balance 11616000Total Price 14520000You Premium Investment Destination On Main GT Road Kapra Center Is The Biggest Clothing Hub Of The Pakistan . We Not Only Deal In Textiles But Also Make The Market Of Clothes.,,,"Type: Flat, Price: PKR1.45 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): -, Area: 3.2 Marla, Purpose: For Sale, Bedroom(s): -, Added: 30 minutes ago"
